boat_type,manufacturer,model_year,length_ft,beam_ft,engine_hp,hull_material,condition,location,days_on_lot,sale_month,sale_price
Bay Boat,Chaparral,2021,28.6,8.4,287,Fiberglass,Good,South Padre Island,62,8,47400
Bay Boat,Grady-White,2011,22.4,7.8,178,Fiberglass,New,Corpus Christi,51,3,60300
Pontoon,Tracker,2012,25.7,7.9,302,Fiberglass,Good,Port Isabel,56,4,34900
Deck Boat,Bennington,2023,27.1,9.6,310,Aluminum,Good,Port Isabel,194,12,48300
Bowrider,Chaparral,2012,24.8,8.1,129,Fiberglass,Excellent,Port Aransas,134,12,34800
Deck Boat,Bennington,2023,29.2,9.4,150,Fiberglass,Fair,Galveston,132,5,39900
Bay Boat,Mako,2015,27.2,8.5,184,Aluminum,Excellent,Rockport,41,4,47300
Center Console,Tracker,2021,21.6,6.7,280,Aluminum,Excellent,Galveston,181,4,62800
Center Console,Mako,2024,29.3,10.1,130,Fiberglass,Good,Port Aransas,43,6,42100
Bay Boat,Tracker,2011,23.3,7.8,364,Fiberglass,Excellent,Port Isabel,193,4,51000
Bowrider,Nautic Star,2014,16.3,5.6,116,Fiberglass,Good,Port Aransas,190,7,27300
Deck Boat,Bayliner,2018,19.6,6.1,427,Aluminum,New,South Padre Island,115,2,82400
Bowrider,Bennington,2022,24.7,7.4,328,Fiberglass,Good,South Padre Island,174,2,49500
Center Console,Boston Whaler,2012,18.2,5.2,202,Aluminum,New,Port Isabel,199,4,62600
Center Console,Tracker,2012,24.2,8.3,214,Fiberglass,Good,Galveston,118,9,37500
Bowrider,Bayliner,2015,21.1,6.6,335,Aluminum,Good,Rockport,154,5,40000
Center Console,Nautic Star,2013,23.5,7.5,108,Fiberglass,Good,Port Isabel,120,6,32700
Center Console,Grady-White,2014,16.0,5.1,343,Fiberglass,Fair,Port Isabel,107,7,44500
Deck Boat,Tracker,2011,27.9,8.8,282,Fiberglass,Good,Port Isabel,70,9,38000
Bowrider,Boston Whaler,2022,21.1,7.1,157,Fiberglass,Good,Port Isabel,132,5,43300
Pontoon,Tracker,2021,18.0,5.9,411,Fiberglass,Good,Port Isabel,57,8,45200
Center Console,Tracker,2012,22.1,7.9,310,Fiberglass,Fair,Port Isabel,42,4,40000
Bowrider,Bennington,2018,22.8,6.6,136,Fiberglass,Good,Galveston,58,7,38900
Bowrider,Tracker,2019,24.9,8.1,320,Fiberglass,Fair,Corpus Christi,7,6,44200
Bowrider,Robalo,2019,23.3,6.6,229,Aluminum,Excellent,Corpus Christi,187,11,47200
Bowrider,Tracker,2024,16.6,5.7,361,Aluminum,Good,Rockport,55,12,56200
Bay Boat,Boston Whaler,2019,28.2,9.3,259,Fiberglass,Good,Port Aransas,160,9,55900
Bowrider,Robalo,2020,22.4,7.0,449,Fiberglass,Excellent,Rockport,89,11,75700
Bay Boat,Tracker,2010,17.1,5.9,422,Fiberglass,Excellent,Port Isabel,71,3,53100
Bowrider,Sea Hunt,2011,26.8,8.5,90,Aluminum,Fair,Galveston,49,7,20100
Deck Boat,Boston Whaler,2019,25.2,7.5,229,Fiberglass,Excellent,Rockport,165,4,67600
Pontoon,Mako,2023,25.1,8.0,150,Fiberglass,Excellent,Port Aransas,105,4,45900
Pontoon,Bennington,2015,22.0,6.3,243,Aluminum,Excellent,South Padre Island,92,6,41800
Pontoon,Tracker,2019,21.7,7.6,129,Aluminum,Excellent,Port Isabel,133,8,33500
Pontoon,Chaparral,2013,23.5,8.0,275,Fiberglass,Good,Rockport,161,8,40300
Pontoon,Nautic Star,2016,16.7,5.7,132,Fiberglass,Fair,Port Aransas,132,10,21700
Pontoon,Mako,2021,20.2,7.1,308,Fiberglass,Fair,Port Isabel,96,7,39600
Center Console,Boston Whaler,2019,29.8,10.2,245,Aluminum,Good,South Padre Island,179,11,56600
Bowrider,Mako,2011,25.3,8.0,447,Fiberglass,Good,Port Isabel,179,10,42100
Deck Boat,Mako,2023,21.9,6.3,404,Fiberglass,Excellent,Galveston,193,10,64100
Bay Boat,Boston Whaler,2023,19.1,5.9,300,Fiberglass,Fair,Galveston,22,4,52500
Deck Boat,Nautic Star,2017,26.4,9.4,243,Fiberglass,Excellent,Corpus Christi,178,6,48400
Bowrider,Boston Whaler,2015,19.6,7.0,343,Fiberglass,New,South Padre Island,42,8,65900
Bowrider,Chaparral,2017,18.3,6.2,325,Fiberglass,Fair,Rockport,125,12,33300
Bowrider,Bennington,2022,18.2,5.4,127,Aluminum,Fair,Port Isabel,133,1,31400
Deck Boat,Bennington,2016,26.2,7.7,216,Aluminum,Excellent,Corpus Christi,45,5,42800
Pontoon,Sea Hunt,2010,25.0,8.8,447,Fiberglass,Good,Corpus Christi,6,5,44100
Bay Boat,Boston Whaler,2011,17.0,5.0,194,Aluminum,Good,Rockport,188,4,40200
Pontoon,Sea Hunt,2022,17.6,5.8,79,Fiberglass,Excellent,South Padre Island,178,9,35400
Pontoon,Grady-White,2021,24.9,7.7,387,Fiberglass,Excellent,Port Isabel,39,1,76900
Bay Boat,Bennington,2021,24.0,7.3,424,Fiberglass,New,Corpus Christi,122,5,77600
Bay Boat,Robalo,2011,25.6,8.6,320,Aluminum,Good,South Padre Island,34,8,43600
Center Console,Grady-White,2012,18.5,6.6,313,Aluminum,Excellent,Corpus Christi,115,5,74200
Center Console,Bennington,2015,26.2,9.0,206,Aluminum,Good,Rockport,66,3,42600
Deck Boat,Chaparral,2013,29.1,9.3,209,Aluminum,Excellent,Port Isabel,151,7,42200
Deck Boat,Tracker,2015,24.4,7.7,417,Aluminum,Fair,Corpus Christi,116,6,38500
Center Console,Sea Hunt,2018,18.7,6.6,396,Fiberglass,Good,Port Aransas,102,12,50400
Deck Boat,Bennington,2014,25.5,8.3,261,Aluminum,Fair,Port Isabel,137,8,31100
Pontoon,Bennington,2011,20.8,6.7,192,Fiberglass,New,Corpus Christi,97,12,42800
Bay Boat,Boston Whaler,2016,16.7,5.6,145,Fiberglass,Good,Port Isabel,7,3,46700
Bay Boat,Bennington,2020,20.2,6.0,79,Fiberglass,Good,Port Isabel,121,9,36600
Bay Boat,Robalo,2019,28.7,8.2,256,Fiberglass,Excellent,Corpus Christi,156,7,64400
Deck Boat,Grady-White,2014,21.8,7.6,282,Fiberglass,Excellent,Corpus Christi,100,8,54200
Bay Boat,Robalo,2014,28.1,9.2,328,Fiberglass,Excellent,Rockport,39,6,62800
Pontoon,Bennington,2018,23.1,6.8,376,Fiberglass,Excellent,Corpus Christi,6,4,61100
Bay Boat,Grady-White,2012,23.2,7.0,212,Fiberglass,Excellent,Galveston,62,1,46300
Deck Boat,Bennington,2022,16.1,5.8,137,Aluminum,Excellent,Corpus Christi,154,9,48100
Bay Boat,Boston Whaler,2023,24.9,8.2,391,Fiberglass,Excellent,Galveston,67,9,75400
Center Console,Robalo,2010,17.5,5.8,360,Fiberglass,Good,South Padre Island,191,3,47000
Pontoon,Robalo,2024,22.7,6.5,274,Fiberglass,New,Rockport,69,7,61300
Bay Boat,Tracker,2010,19.6,7.0,89,Fiberglass,Excellent,Port Isabel,88,8,27100
Bay Boat,Mako,2016,21.5,7.6,250,Fiberglass,Good,South Padre Island,153,7,44500
Pontoon,Sea Hunt,2020,23.5,7.6,307,Aluminum,Excellent,Galveston,124,5,62500
Bowrider,Chaparral,2014,16.2,4.9,397,Fiberglass,Excellent,Galveston,12,10,47500
Pontoon,Nautic Star,2013,20.0,6.7,265,Fiberglass,Excellent,Port Isabel,19,7,42300
Bowrider,Bayliner,2010,29.9,10.4,248,Aluminum,New,Port Aransas,43,8,52100
Bowrider,Nautic Star,2020,16.8,5.8,217,Fiberglass,Good,Port Aransas,174,7,43500
Deck Boat,Bayliner,2010,20.5,7.3,230,Aluminum,New,South Padre Island,9,8,52100
Pontoon,Bayliner,2017,20.5,6.8,81,Fiberglass,Excellent,Rockport,18,3,40500
Bay Boat,Robalo,2015,21.3,6.5,113,Aluminum,Fair,Port Isabel,156,11,27000
Deck Boat,Boston Whaler,2024,25.6,8.2,358,Fiberglass,Fair,Port Aransas,126,4,58400
Deck Boat,Mako,2023,19.5,6.7,210,Aluminum,Excellent,Corpus Christi,196,9,48600
Bowrider,Bennington,2022,22.4,6.7,394,Fiberglass,Excellent,Galveston,47,10,59500
Bowrider,Tracker,2020,25.0,7.5,223,Aluminum,Good,Galveston,133,7,40100
Deck Boat,Chaparral,2018,20.5,6.9,448,Aluminum,Good,South Padre Island,31,7,48400
Pontoon,Chaparral,2015,29.3,9.2,142,Fiberglass,Good,Port Aransas,120,2,37900
Bay Boat,Bennington,2012,29.7,10.3,145,Aluminum,New,Port Isabel,25,6,54600
Bowrider,Tracker,2024,17.7,5.2,295,Fiberglass,New,Port Isabel,182,7,64100
Deck Boat,Chaparral,2015,20.8,6.4,376,Fiberglass,Excellent,Rockport,86,2,54300
Deck Boat,Boston Whaler,2016,18.9,5.7,128,Aluminum,Fair,Galveston,54,3,37200
Pontoon,Robalo,2012,18.6,6.2,263,Fiberglass,Fair,Port Aransas,196,12,24600
Pontoon,Nautic Star,2014,22.9,7.8,158,Fiberglass,New,South Padre Island,17,5,43800
Center Console,Grady-White,2019,23.9,7.6,351,Fiberglass,Good,Corpus Christi,160,5,76900
Bay Boat,Sea Hunt,2016,22.0,7.0,285,Fiberglass,Excellent,Port Aransas,104,4,54000
Center Console,Bayliner,2018,19.8,5.8,320,Aluminum,Good,South Padre Island,139,7,44300
Pontoon,Mako,2013,19.9,6.7,175,Fiberglass,Fair,South Padre Island,55,6,25700
Center Console,Sea Hunt,2011,29.9,10.7,183,Fiberglass,Good,Corpus Christi,176,9,39200
Bay Boat,Bayliner,2023,28.9,9.9,314,Fiberglass,New,Port Isabel,92,6,59800
Deck Boat,Nautic Star,2016,17.1,5.1,207,Fiberglass,Good,Port Aransas,86,1,36300
Pontoon,Boston Whaler,2015,25.2,8.3,333,Aluminum,Excellent,Galveston,93,6,60100
Deck Boat,Nautic Star,2014,22.4,6.8,132,Aluminum,Good,South Padre Island,62,2,28700
Bowrider,Bennington,2019,25.6,7.2,187,Fiberglass,Excellent,South Padre Island,67,9,46300
Bowrider,Robalo,2018,24.4,7.2,113,Fiberglass,Fair,Port Isabel,32,3,33300
Center Console,Bennington,2015,28.4,8.2,107,Fiberglass,Excellent,Rockport,99,4,44900
Bowrider,Mako,2023,16.9,5.0,173,Fiberglass,Excellent,Port Isabel,97,6,47100
Pontoon,Chaparral,2023,20.9,7.2,258,Fiberglass,Excellent,South Padre Island,79,4,48200
Pontoon,Chaparral,2012,29.8,9.0,129,Fiberglass,New,Port Aransas,197,6,37200
Center Console,Sea Hunt,2019,18.6,6.3,109,Fiberglass,Excellent,South Padre Island,27,6,42100
Pontoon,Bennington,2024,17.8,6.3,403,Fiberglass,Good,Galveston,182,12,51800
Pontoon,Boston Whaler,2017,26.2,8.5,268,Fiberglass,New,South Padre Island,174,2,71000
Deck Boat,Bennington,2010,26.9,8.6,343,Fiberglass,New,South Padre Island,9,7,56100
Center Console,Chaparral,2011,25.4,8.6,347,Aluminum,New,Corpus Christi,141,8,55300
Deck Boat,Boston Whaler,2020,26.9,7.7,113,Fiberglass,New,Galveston,45,3,65100
Bowrider,Tracker,2023,25.7,8.1,307,Fiberglass,Fair,Rockport,13,7,44200
Pontoon,Sea Hunt,2011,17.9,5.7,397,Aluminum,Fair,Galveston,172,10,30800
Center Console,Sea Hunt,2018,24.5,8.5,243,Aluminum,New,Port Isabel,27,9,58300
Bowrider,Tracker,2017,26.9,9.3,398,Fiberglass,Good,Port Isabel,63,11,39300
Bowrider,Chaparral,2014,28.1,9.8,429,Fiberglass,Good,Port Isabel,23,8,47600
Center Console,Boston Whaler,2019,19.4,6.5,279,Fiberglass,Fair,Corpus Christi,32,5,48000
Bowrider,Bayliner,2023,17.8,5.7,113,Fiberglass,Excellent,Port Isabel,17,11,39600
Deck Boat,Nautic Star,2013,26.9,9.3,306,Fiberglass,Excellent,South Padre Island,169,4,48300
Deck Boat,Boston Whaler,2010,19.6,6.9,405,Fiberglass,Good,South Padre Island,16,7,56400
Deck Boat,Grady-White,2015,16.4,5.2,292,Fiberglass,Fair,South Padre Island,153,9,35400
Pontoon,Bennington,2014,27.6,9.9,375,Fiberglass,Good,Port Aransas,35,10,45600
Bowrider,Mako,2020,23.1,8.1,275,Aluminum,Good,Port Isabel,183,11,38400
Pontoon,Grady-White,2018,20.6,6.6,232,Fiberglass,Excellent,Galveston,170,2,51700
Bowrider,Bennington,2010,16.2,4.6,429,Aluminum,Good,Port Isabel,127,8,35400
Bowrider,Bayliner,2015,16.5,4.9,132,Aluminum,Fair,Port Isabel,166,4,25300
Center Console,Bennington,2021,27.1,9.3,242,Aluminum,Excellent,South Padre Island,63,9,50900
Bay Boat,Tracker,2017,22.9,6.6,133,Fiberglass,Good,Rockport,157,8,38900
Pontoon,Sea Hunt,2018,18.1,5.7,320,Aluminum,Excellent,Galveston,48,3,51700
Deck Boat,Bayliner,2013,21.0,6.9,420,Fiberglass,Good,South Padre Island,124,9,47100
Center Console,Sea Hunt,2014,18.3,6.4,449,Fiberglass,Good,Rockport,184,6,50900
Center Console,Sea Hunt,2011,17.6,6.1,162,Aluminum,Good,Rockport,146,7,29400
Deck Boat,Chaparral,2011,19.9,6.8,347,Fiberglass,Fair,Port Isabel,57,12,28600
Pontoon,Mako,2010,23.7,7.4,402,Fiberglass,Excellent,Rockport,149,7,47600
Center Console,Nautic Star,2019,18.9,5.5,387,Fiberglass,Excellent,Galveston,177,7,69600
Center Console,Chaparral,2012,20.8,6.9,263,Aluminum,Excellent,Port Isabel,178,1,47300
Center Console,Robalo,2018,22.7,6.7,140,Fiberglass,New,Corpus Christi,149,4,59500
Deck Boat,Nautic Star,2024,21.9,7.1,248,Fiberglass,Excellent,Rockport,147,1,52200
Center Console,Mako,2020,17.8,6.4,366,Aluminum,New,South Padre Island,158,5,73400
Deck Boat,Tracker,2018,16.5,5.3,307,Fiberglass,Excellent,South Padre Island,148,5,58700
Deck Boat,Mako,2011,16.5,5.5,220,Fiberglass,Excellent,Rockport,31,6,41900
Deck Boat,Chaparral,2017,20.9,7.0,155,Fiberglass,Excellent,Port Aransas,161,8,39800
Pontoon,Robalo,2023,26.1,9.0,319,Aluminum,Good,Port Isabel,40,3,56100
Deck Boat,Robalo,2015,17.8,5.6,235,Fiberglass,Excellent,South Padre Island,113,7,47200
Pontoon,Bennington,2022,27.0,8.6,252,Fiberglass,Good,South Padre Island,71,11,44200
Pontoon,Boston Whaler,2020,26.0,7.6,426,Fiberglass,Fair,Port Aransas,46,3,51700
Bowrider,Boston Whaler,2014,16.1,5.3,78,Aluminum,Good,South Padre Island,59,7,32700
Pontoon,Bayliner,2012,16.4,5.0,164,Fiberglass,Excellent,Port Isabel,21,1,35700
Deck Boat,Bayliner,2010,18.7,6.0,419,Fiberglass,Excellent,Corpus Christi,90,6,49900
Deck Boat,Grady-White,2014,16.8,5.7,420,Aluminum,Good,Galveston,86,8,56800
Bay Boat,Boston Whaler,2014,23.4,6.6,188,Fiberglass,Good,Port Isabel,83,1,52700
Deck Boat,Sea Hunt,2019,16.6,5.4,447,Fiberglass,New,South Padre Island,22,5,75000
Center Console,Grady-White,2018,27.2,8.0,154,Fiberglass,Excellent,Galveston,123,10,56800
Bowrider,Grady-White,2017,22.9,6.9,94,Aluminum,Good,South Padre Island,38,4,54100
Bowrider,Sea Hunt,2020,26.2,7.4,190,Fiberglass,Excellent,Corpus Christi,171,8,48300
Center Console,Tracker,2021,26.5,7.8,274,Fiberglass,Good,Galveston,9,7,47900
Pontoon,Mako,2020,23.1,8.3,77,Fiberglass,New,Port Isabel,15,3,45700
Center Console,Grady-White,2023,29.0,10.4,139,Fiberglass,Excellent,Galveston,63,8,71300
Pontoon,Sea Hunt,2015,29.9,10.1,371,Aluminum,Good,South Padre Island,84,6,41900
Center Console,Robalo,2022,21.0,6.9,308,Fiberglass,Excellent,Corpus Christi,194,3,64300
Deck Boat,Boston Whaler,2016,17.8,6.1,301,Fiberglass,Good,Port Isabel,107,11,53100
Pontoon,Bayliner,2012,21.1,7.4,446,Aluminum,Excellent,Port Isabel,78,6,50600
Pontoon,Bennington,2012,19.1,6.1,160,Fiberglass,Excellent,Port Isabel,168,8,31700
Deck Boat,Boston Whaler,2011,23.4,6.6,411,Fiberglass,Fair,South Padre Island,51,4,51000
Bowrider,Bennington,2024,21.3,7.2,208,Fiberglass,Excellent,Galveston,179,3,50900
Pontoon,Nautic Star,2012,22.7,8.1,421,Fiberglass,Excellent,South Padre Island,83,8,42700
Bay Boat,Bayliner,2022,26.7,8.0,368,Fiberglass,Fair,Port Aransas,65,8,38600
Pontoon,Sea Hunt,2021,19.8,6.3,155,Fiberglass,Good,Port Aransas,63,4,40100
Pontoon,Boston Whaler,2016,23.5,7.3,153,Fiberglass,Good,South Padre Island,6,8,42200
Bay Boat,Sea Hunt,2023,20.7,6.4,278,Fiberglass,New,Galveston,136,6,63900
Pontoon,Bayliner,2023,27.0,9.1,263,Fiberglass,New,Corpus Christi,117,5,58200
Bowrider,Tracker,2023,25.0,7.8,163,Fiberglass,Good,Rockport,128,9,40600
Bowrider,Sea Hunt,2017,16.1,5.7,172,Fiberglass,Excellent,South Padre Island,132,7,44100
Pontoon,Robalo,2014,25.2,8.6,412,Aluminum,Excellent,Port Isabel,10,6,55300
Pontoon,Boston Whaler,2010,18.4,5.2,357,Fiberglass,Good,Port Aransas,176,9,41200
Bay Boat,Bennington,2022,26.1,9.0,146,Aluminum,Excellent,Corpus Christi,104,7,44800
Pontoon,Sea Hunt,2023,23.9,8.2,346,Fiberglass,New,Port Aransas,139,11,60700
Bay Boat,Bayliner,2018,21.6,6.9,132,Aluminum,New,Port Isabel,12,9,49900
Deck Boat,Nautic Star,2011,25.7,8.2,241,Fiberglass,Excellent,Port Aransas,153,5,50400
Bay Boat,Chaparral,2022,28.0,9.7,79,Fiberglass,Good,Rockport,137,6,41500
Bay Boat,Bayliner,2014,26.9,8.4,318,Fiberglass,Fair,Port Isabel,76,12,35600
Center Console,Bennington,2018,23.6,6.9,143,Fiberglass,New,Port Aransas,187,10,54300
Bowrider,Nautic Star,2019,26.1,8.0,163,Fiberglass,Excellent,Galveston,131,4,51300
Center Console,Robalo,2012,21.8,6.6,146,Fiberglass,Good,Port Aransas,181,4,36800
Center Console,Boston Whaler,2010,27.0,9.0,143,Aluminum,Excellent,South Padre Island,165,5,59600
Bowrider,Grady-White,2011,27.6,8.1,104,Fiberglass,Good,Port Aransas,45,10,35400
Deck Boat,Bennington,2024,17.9,5.9,282,Aluminum,Fair,Rockport,199,11,35900
Deck Boat,Chaparral,2024,19.3,6.1,400,Aluminum,Good,Port Isabel,149,9,53000
Pontoon,Chaparral,2016,19.8,6.9,188,Aluminum,Excellent,Port Aransas,41,4,42400
Bay Boat,Grady-White,2016,18.3,5.8,367,Fiberglass,Fair,Port Aransas,159,10,47500
Center Console,Tracker,2016,21.5,7.6,278,Fiberglass,New,Rockport,88,1,58400
Pontoon,Bayliner,2015,18.7,6.6,170,Fiberglass,Fair,South Padre Island,173,6,27200
Center Console,Sea Hunt,2018,24.3,7.2,98,Fiberglass,Good,Galveston,38,5,40600
Deck Boat,Bayliner,2015,17.4,5.8,368,Aluminum,Good,Rockport,55,6,48300
Bowrider,Tracker,2019,19.8,5.9,83,Fiberglass,Fair,Corpus Christi,72,7,26700
Bowrider,Robalo,2015,25.3,8.8,233,Fiberglass,Good,Port Isabel,92,4,45400
Bay Boat,Nautic Star,2019,21.6,7.1,87,Fiberglass,Excellent,South Padre Island,128,4,45000
Pontoon,Boston Whaler,2024,21.9,6.6,365,Aluminum,Excellent,Galveston,48,9,70900
Pontoon,Tracker,2013,27.2,8.2,446,Fiberglass,Good,South Padre Island,142,2,44500
Deck Boat,Bennington,2010,29.8,9.4,196,Fiberglass,Good,Rockport,9,6,40000
Center Console,Bayliner,2017,23.9,8.2,192,Aluminum,Excellent,Galveston,69,4,54300
Bay Boat,Bennington,2011,17.1,5.9,286,Aluminum,Good,Port Aransas,133,5,38600
Pontoon,Grady-White,2013,17.4,4.9,263,Fiberglass,Good,Port Aransas,56,4,41900
Bowrider,Robalo,2021,29.6,9.0,218,Aluminum,Excellent,Port Isabel,89,8,59100
Center Console,Nautic Star,2016,25.5,8.0,212,Aluminum,New,Galveston,123,6,62500
Pontoon,Mako,2018,26.5,8.7,145,Fiberglass,Excellent,Port Aransas,53,5,37600
Bowrider,Boston Whaler,2021,25.5,7.4,169,Aluminum,New,Corpus Christi,193,9,69300
Bowrider,Tracker,2011,18.5,5.7,294,Fiberglass,New,Corpus Christi,170,2,54100
Deck Boat,Boston Whaler,2017,22.3,7.8,350,Fiberglass,Excellent,Port Isabel,194,9,50600
Center Console,Bennington,2010,27.2,8.7,356,Fiberglass,New,Port Isabel,101,4,66800
Bay Boat,Tracker,2017,28.1,9.5,268,Fiberglass,Excellent,South Padre Island,71,11,53700
Bowrider,Robalo,2013,19.3,6.2,357,Fiberglass,Good,Port Aransas,198,1,48800
Bowrider,Tracker,2023,24.3,7.7,297,Fiberglass,Excellent,South Padre Island,147,7,61500
Pontoon,Bennington,2013,18.2,6.0,208,Fiberglass,Fair,Corpus Christi,159,7,24500
Center Console,Mako,2013,29.4,8.8,207,Fiberglass,Fair,Galveston,40,7,30800
Center Console,Chaparral,2010,19.5,5.8,269,Fiberglass,Good,Galveston,174,9,30900
Deck Boat,Bennington,2011,26.2,9.4,190,Fiberglass,Fair,Port Isabel,107,3,30700
Deck Boat,Sea Hunt,2013,19.2,6.7,361,Fiberglass,Fair,Port Aransas,155,6,36000
Center Console,Nautic Star,2013,24.6,8.3,144,Fiberglass,Excellent,Port Aransas,165,10,42400
Pontoon,Robalo,2021,25.2,7.3,95,Fiberglass,Good,Corpus Christi,25,10,35000
Deck Boat,Robalo,2023,20.6,5.8,259,Aluminum,New,South Padre Island,24,6,74800
Center Console,Chaparral,2022,27.5,8.1,101,Fiberglass,Good,Galveston,17,7,38500
Center Console,Bennington,2024,28.4,10.1,146,Aluminum,Good,Corpus Christi,130,9,42500
Deck Boat,Sea Hunt,2023,28.0,9.7,216,Fiberglass,New,Rockport,183,9,59400
Pontoon,Mako,2016,20.6,6.6,76,Fiberglass,Excellent,South Padre Island,10,10,33500
Bowrider,Boston Whaler,2015,26.4,9.4,158,Aluminum,Fair,Rockport,31,10,40100
Deck Boat,Robalo,2019,23.8,6.9,279,Aluminum,Excellent,South Padre Island,99,6,56500
Bay Boat,Bennington,2014,24.3,7.9,215,Fiberglass,Excellent,Corpus Christi,81,7,41800
Bowrider,Chaparral,2019,22.7,6.7,411,Fiberglass,Excellent,Corpus Christi,25,6,58000
Deck Boat,Boston Whaler,2024,24.4,7.4,110,Fiberglass,Good,Galveston,123,3,49200
Bay Boat,Mako,2012,17.9,6.4,344,Fiberglass,Good,Galveston,181,9,46500
Deck Boat,Tracker,2021,21.7,7.6,297,Aluminum,Good,Rockport,46,7,49500
Center Console,Mako,2024,18.5,5.3,316,Aluminum,Excellent,Port Isabel,5,2,70100
Bay Boat,Bayliner,2018,19.9,6.0,326,Fiberglass,Excellent,Corpus Christi,48,8,52100
Deck Boat,Bennington,2015,17.8,5.8,94,Fiberglass,New,Port Aransas,40,4,41900
Bowrider,Robalo,2013,19.0,5.4,371,Fiberglass,Good,Port Aransas,95,2,52100
Pontoon,Sea Hunt,2012,26.9,8.7,199,Fiberglass,Good,Corpus Christi,25,7,32600
Pontoon,Bennington,2014,23.7,7.7,318,Fiberglass,Good,Corpus Christi,75,8,38200
Deck Boat,Nautic Star,2021,16.3,4.9,185,Fiberglass,Excellent,Corpus Christi,28,6,43500
Center Console,Tracker,2017,27.0,8.2,223,Fiberglass,Good,Galveston,136,1,43400
Bay Boat,Mako,2013,28.7,8.6,337,Fiberglass,Excellent,Corpus Christi,96,7,53600
Bowrider,Sea Hunt,2018,28.3,10.0,425,Fiberglass,Good,Port Aransas,19,1,51500
Center Console,Boston Whaler,2022,27.5,8.6,404,Fiberglass,Good,Corpus Christi,13,11,75000
Bowrider,Nautic Star,2010,29.9,9.8,347,Aluminum,Good,Rockport,100,4,47100
Pontoon,Sea Hunt,2010,24.2,7.4,276,Fiberglass,Good,Galveston,120,10,32500
Bay Boat,Bennington,2024,29.5,9.9,272,Fiberglass,Fair,Port Isabel,38,1,40000
Pontoon,Sea Hunt,2021,29.3,8.4,437,Fiberglass,Excellent,Corpus Christi,68,2,63800
Bowrider,Robalo,2018,20.4,5.8,152,Fiberglass,New,Port Aransas,123,6,53600
Center Console,Grady-White,2023,28.1,9.5,432,Fiberglass,Excellent,South Padre Island,96,8,85700
Center Console,Chaparral,2018,27.1,9.2,318,Fiberglass,Good,Galveston,27,11,54400
Pontoon,Sea Hunt,2017,26.9,8.1,306,Fiberglass,Good,Corpus Christi,81,6,39700
Bowrider,Mako,2013,28.5,8.8,296,Aluminum,Good,Port Aransas,43,5,53400
Center Console,Boston Whaler,2022,21.4,7.6,379,Fiberglass,Good,South Padre Island,185,1,69800
Pontoon,Chaparral,2021,21.6,6.2,331,Fiberglass,Excellent,Corpus Christi,161,7,53700
Center Console,Sea Hunt,2014,25.0,7.4,110,Fiberglass,Good,South Padre Island,65,5,34700
Pontoon,Bennington,2021,26.3,8.3,367,Aluminum,Good,Rockport,50,11,51400
Pontoon,Grady-White,2020,28.3,8.6,348,Aluminum,Excellent,Galveston,31,6,67600
Center Console,Chaparral,2011,28.3,9.4,418,Fiberglass,Excellent,South Padre Island,148,9,54400
Pontoon,Tracker,2012,26.1,8.7,426,Fiberglass,Excellent,South Padre Island,184,10,45800
Bowrider,Bennington,2018,29.4,9.5,430,Fiberglass,Excellent,Port Isabel,58,2,64000
Bowrider,Grady-White,2019,18.5,6.1,91,Aluminum,Good,Galveston,129,6,42600
Center Console,Sea Hunt,2019,29.3,9.2,311,Fiberglass,Fair,Galveston,50,10,41300
Bay Boat,Bennington,2015,16.9,5.8,425,Fiberglass,Good,Port Isabel,183,6,49100
Bay Boat,Mako,2022,23.8,6.7,437,Fiberglass,Excellent,Corpus Christi,63,7,63400
Deck Boat,Tracker,2016,17.3,5.3,280,Fiberglass,Good,Corpus Christi,23,10,35800
Center Console,Boston Whaler,2013,24.0,8.0,416,Aluminum,Good,South Padre Island,176,4,64300
Bowrider,Tracker,2011,21.5,6.6,405,Fiberglass,Excellent,Port Aransas,189,10,50000
Pontoon,Boston Whaler,2023,17.1,4.9,75,Fiberglass,Good,Port Aransas,82,5,45400
Bowrider,Bennington,2020,25.1,7.7,406,Fiberglass,New,Corpus Christi,181,7,76800
Center Console,Chaparral,2016,26.2,8.8,314,Fiberglass,New,Port Isabel,52,5,69900
Center Console,Nautic Star,2013,18.4,5.3,290,Fiberglass,New,Galveston,57,6,60300
Bowrider,Bennington,2011,25.7,8.7,141,Fiberglass,Excellent,Rockport,109,1,36300
Bay Boat,Bayliner,2012,18.5,6.3,419,Aluminum,Fair,Corpus Christi,122,2,32500
Pontoon,Mako,2011,17.9,5.9,185,Fiberglass,Excellent,South Padre Island,80,6,33700
Bowrider,Mako,2017,18.1,5.4,231,Fiberglass,Excellent,Galveston,160,5,45300
Center Console,Bayliner,2012,24.4,8.4,186,Fiberglass,Excellent,Galveston,159,7,39000
Center Console,Bayliner,2011,26.9,8.0,438,Fiberglass,Excellent,Rockport,28,1,57700
Center Console,Bayliner,2014,24.4,8.6,256,Fiberglass,Excellent,Rockport,198,3,51700
Center Console,Chaparral,2020,27.3,9.2,117,Fiberglass,New,South Padre Island,36,4,54900
Center Console,Tracker,2017,24.3,6.9,79,Fiberglass,Good,Rockport,107,6,34600
Bowrider,Nautic Star,2012,27.2,9.4,442,Aluminum,New,Port Aransas,87,4,79400
